"Ozone","Solar.R","Wind","Temp","Month","Day"
41,190,7.4,67,5,1
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
45,252,14.9,81,5,29
115,223,5.7,79,5,30
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
71,291,13.8,90,6,9
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
135,269,4.1,84,7,1
49,248,9.2,85,7,2
NA,NA,NA,NA,NA,NA
64,175,4.6,83,7,5
40,314,10.9,83,7,6
77,276,5.1,88,7,7
97,267,6.3,92,7,8
97,272,5.7,92,7,9
85,175,7.4,89,7,10
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
48,260,6.9,81,7,16
61,285,6.3,84,7,18
79,187,5.1,87,7,19
63,220,11.5,85,7,20
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
80,294,8.6,86,7,24
108,223,8,85,7,25
52,82,12,86,7,27
82,213,7.4,88,7,28
50,275,7.4,86,7,29
64,253,7.4,83,7,30
59,254,9.2,81,7,31
78,NA,6.9,86,8,4
66,NA,4.6,87,8,6
122,255,4,89,8,7
89,229,10.3,90,8,8
110,207,8,90,8,9
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
44,192,11.5,86,8,12
65,157,9.7,80,8,14
NA,NA,NA,NA,NA,NA
59,51,6.3,79,8,17
44,190,10.3,78,8,20
NA,NA,NA,NA,NA,NA
45,212,9.7,79,8,24
168,238,3.4,81,8,25
73,215,8,86,8,26
NA,NA,NA,NA,NA,NA
76,203,9.7,97,8,28
118,225,2.3,94,8,29
84,237,6.3,96,8,30
85,188,6.3,94,8,31
96,167,6.9,91,9,1
78,197,5.1,92,9,2
73,183,2.8,93,9,3
91,189,4.6,93,9,4
47,95,7.4,87,9,5
44,236,14.9,81,9,11
46,237,6.9,78,9,16
NA,NA,NA,NA,NA,NA
