날짜,상품명,발주가능상태,입고수량,카테고리,출고수량
2023-05-16,S7_0,발주가능,65,빵,57
2023-05-16,S7_3,발주가능,679,빵,679
2023-05-16,S7_7,발주가능,589,우유,584
2023-05-16,S7_11,발주가능,408,빵,401
2023-05-16,S7_14,발주가능,373,빵,371
2023-05-16,S7_16,발주가능,597,주류,589
2023-05-16,S7_17,발주가능,157,우유,157
2023-05-16,S7_18,발주가능,494,우유,487
2023-05-16,S7_20,발주가능,383,주류,382
2023-05-16,S7_22,발주가능,598,빵,594
2023-05-16,S7_23,발주가능,99,빵,95
2023-05-16,S7_24,발주가능,305,빵,299
2023-05-16,S7_25,발주가능,92,빵,85
2023-05-16,S7_28,발주가능,409,주류,404
2023-05-16,S7_29,발주가능,312,주류,307
2023-05-16,S7_31,발주가능,263,빵,256
2023-05-16,S7_38,발주가능,182,우유,177
2023-05-16,S7_43,발주가능,195,간식,194
2023-05-16,S7_47,발주가능,347,배달음식,347
2023-05-16,S7_48,발주가능,237,배달음식,234
2023-05-16,S7_49,발주가능,201,배달음식,201
2023-05-16,S7_52,발주가능,607,배달음식,603
2023-05-16,S7_53,발주가능,193,물,189
2023-05-16,S7_54,발주가능,145,빵,138
2023-05-16,S7_59,발주가능,621,배달음식,613
2023-05-16,S7_60,발주가능,188,빵,186
2023-05-16,S7_61,발주가능,656,빵,654
2023-05-16,S7_62,발주가능,38,빵,29
2023-05-16,S7_65,발주가능,655,우유,650
2023-05-16,S7_67,발주가능,451,빵,447
2023-05-16,S7_68,발주가능,662,빵,653
2023-05-16,S7_70,발주가능,582,기타,579
2023-05-16,S7_71,발주가능,383,기타,381
2023-05-16,S7_72,발주가능,532,물,528
2023-05-16,S7_73,발주가능,474,물,471
2023-05-16,S7_74,발주가능,170,빵,167
2023-05-16,S7_86,발주가능,382,빵,379
2023-05-16,S7_88,발주가능,539,우유,532
2023-05-16,S7_91,발주가능,264,물,256
2023-05-16,S7_92,발주가능,288,물,282
2023-05-16,S7_93,발주가능,342,물,340
2023-05-16,S7_95,발주가능,414,주류,411
2023-05-16,S7_96,발주가능,78,주류,75
2023-05-16,S7_101,발주가능,526,배달음식,526
2023-05-16,S7_103,발주가능,454,물,450
2023-05-16,S7_104,발주가능,76,빵,70
2023-05-16,S7_105,발주가능,540,빵,535
2023-05-16,S7_108,발주가능,57,빵,57
2023-05-16,S7_111,발주가능,46,우유,46
2023-05-16,S7_112,발주가능,245,우유,241
2023-05-16,S7_113,발주가능,141,배달음식,139
2023-05-16,S7_114,발주가능,281,우유,279
2023-05-16,S7_121,발주가능,683,물,682
2023-05-16,S7_125,발주가능,19,물,12
2023-05-16,S7_127,발주가능,332,빵,326
2023-05-16,S7_129,발주가능,308,물,300
2023-05-16,S7_130,발주가능,681,스낵,679
2023-05-16,S7_131,발주가능,625,스낵,620
2023-05-16,S7_133,발주가능,537,주류,534
2023-05-16,S7_134,발주가능,147,주류,142
2023-05-16,S7_135,발주가능,248,주류,243
2023-05-16,S7_136,발주가능,676,주류,668
2023-05-16,S7_138,발주가능,463,빵,458
2023-05-16,S7_139,발주가능,497,간식,494
2023-05-16,S7_143,발주가능,98,간식,93
2023-05-16,S7_145,발주가능,556,빵,551
2023-05-16,S7_146,발주가능,642,빵,638
2023-05-16,S7_150,발주가능,550,물,541
2023-05-16,S7_151,발주가능,17,빵,12
2023-05-16,S7_154,발주가능,174,물,170
2023-05-16,S7_157,발주가능,688,배달음식,686
2023-05-16,S7_162,발주가능,444,물,437
2023-05-16,S7_164,발주가능,84,물,79
2023-05-16,S7_170,발주가능,149,간식,148
2023-05-16,S7_172,발주가능,31,간식,26
2023-05-16,S7_178,발주가능,312,물,311
2023-05-16,S7_179,발주가능,462,스낵,461
2023-05-16,S7_180,발주가능,343,빵,336
2023-05-16,S7_181,발주가능,525,물,516
2023-05-16,S7_188,발주가능,608,배달음식,605
